,Youtube Channel,Subscribers,Video Views,Video Count,Category,Started
0,T-Series,243000000,224881706554,19757,Music,2006
1,Cocomelon - Nursery Rhymes,160000000,161435301255,927,Education,2006
2,SET India,157000000,146246275148,113723,Shows,2006
3,Sony SAB,81600000,98603821529,69353,Shows,2007
4,✿ Kids Diana Show,111000000,92321006440,1097,People & Blogs,2015
5,Like Nastya,106000000,89956905855,800,People & Blogs,2016
6,WWE,95200000,76590809077,69232,Sports,2007
7,Vlad and Niki,97700000,76255951806,561,Entertainment,2018
8,Zee TV,69400000,71539733613,126034,Entertainment,2005
9,Colors TV,63200000,60190628294,11059,Shows,2008
10,Movieclips,59400000,59176881671,38871,Film & Animation,2006
11,Zee Music Company,95500000,56961287918,8349,Music,2014
12,El Reino Infantil,57600000,56551023544,1471,Music,2011
13,netd müzik,24000000,55536940351,23036,Music,2014
14,Ryan's World,34900000,54991159129,2414,Entertainment,2015
15,ABS-CBN Entertainment,43900000,50090155660,191466,People & Blogs,2008
16,Toys and Colors,39500000,46335699342,971,Entertainment,2016
17,ChuChu TV Nursery Rhymes & Kids Songs,65100000,45127639835,605,Education,2013
18,Super Simple Songs - Kids Songs,38600000,44034714118,724,Education,2006
19,Wave Music,57500000,40343309988,19404,Music,2014
20,HAR PAL GEO,42800000,39343220321,96133,Entertainment,2008
21,Little Baby Bum - Nursery Rhymes & Kids Songs,40800000,39304951144,2393,Education,2011
22,Pinkfong Baby Shark - Kids' Songs & Stories,67500000,38331036298,2794,Education,2011
23,Canal KondZilla,66500000,37518173352,2555,Music,2012
24,ARY Digital HD,42200000,36691093589,104884,Entertainment,2016
25,Маша и Медведь,42700000,36117171783,1431,Film & Animation,2011
26,WorkpointOfficial,38800000,35946688067,7165,Entertainment,2012
27,YRF,54000000,34768157601,3639,Film & Animation,2006
28,LankyBox,24900000,33448355637,829,Comedy,2016
29,Tips Official,58700000,32976587631,459,Music,2007
30,LooLoo Kids - Nursery Rhymes and Children's Songs,53800000,32073036420,679,Music,2014
31,BLACKPINK,89000000,31555348752,526,People & Blogs,2016
32,D Billions,26000000,31344278065,729,Other,2019
33,Get Movies,46600000,30469929901,3276,Entertainment,2006
34,Tsuriki Show,22000000,30426876415,2722,Entertainment,2019
35,Justin Bieber,71400000,30408972725,249,Music,2007
36,Bad Bunny,45900000,30203101760,130,Music,2014
37,Ed Sheeran,53400000,30117456435,356,Music,2006
38,Infobells - Hindi,51800000,29710507894,558,Education,2014
39,Ch3Thailand,33300000,29497889790,94595,Entertainment,2014
40,Taylor Swift,52200000,29324384897,214,Music,2006
41,T-Series Bhakti Sagar,60200000,29042176029,25753,Music,2011
42,PewDiePie,111000000,29011041143,4712,Gaming,2010
43,Sony Music India,56900000,28541179709,3712,Music,2009
44,Vijay Television,20000000,28402330470,48854,Entertainment,2007
45,Shemaroo Filmi Gaane,65100000,28357130586,839,Music,2010
46,HYBE LABELS,70800000,28139897961,1272,Music,2008
47,DisneyMusicVEVO,32400000,28133529426,2037,Music,2010
48,Sony PAL,37600000,27992864088,23591,Shows,2014
49,قناة طيور الجنة | toyoraljanahtv,30100000,27519258102,3238,Entertainment,2008
50,Shakira,42900000,27161012004,315,People & Blogs,2005
51,SMTOWN,31700000,27098585722,4133,Music,2006
52,ช่อง one31,37200000,27084986656,114003,Entertainment,2013
53,SonyMusicIndiaVEVO,46200000,26900518442,3396,Music,2009
54,MrBeast,158000000,26836907689,739,Entertainment,2012
55,Galinha Pintadinha,33600000,26817190542,65,Film & Animation,2006
56,La Granja de Zenón,35300000,26779887904,642,Music,2013
57,EminemMusic,56500000,26736376238,140,Music,2007
58,Speed Records,42400000,26626637697,10881,Music,2012
59,JustinBieberVEVO,31600000,26458567652,204,Music,2009
60,BabyBus - Kids Songs and Cartoons,32600000,26209932825,2075,Education,2016
61,5-Minute Crafts,79900000,26121558830,6268,Howto & Style,2016
62,Alan Chikin Chow,25000000,25808269940,812,Comedy,2020
63,GR6 EXPLODE,38800000,25676029817,4168,Music,2014
64,LeoNata Family,21000000,25655875289,218,People & Blogs,2021
65,Aditya Music India,28300000,25593280355,21446,Music,2008
66,StarPlus,30500000,25500407576,40345,Entertainment,2006
67,GMM GRAMMY OFFICIAL,23000000,25431664850,15199,Music,2010
68,Katy Perry,44200000,25307197707,123,Music,2008
69,TaylorSwiftVEVO,25700000,25264144278,264,Music,2009
70,Genevieve's Playhouse - Learning Videos for Kids,34500000,25065088582,611,Education,2016
71,shakiraVEVO,18400000,25048197917,196,Music,2009
72,Aaj Tak,57200000,24851820375,2701,News & Politics,2009
73,Maria Clara & JP,36700000,23923114288,734,People & Blogs,2015
74,FGTeeV,22100000,23888808924,171,Gaming,2013
75,1theK (원더케이),24500000,23836711442,18294,Music,2011
76,Ariana Grande,52600000,23826962787,147,Music,2007
77,Masha and The Bear,41200000,23823806496,1172,Shows,2014
78,Goldmines,85900000,23704936980,6134,Film & Animation,2012
79,KatyPerryVEVO,24700000,23646269601,173,Music,2009
80,shfa2 - شفا,39400000,23630017491,156,People & Blogs,2017
81,SSSniperWolf,33500000,23256085371,3313,Gaming,2013
82,Ozuna,36100000,23171270121,194,Music,2016
83,Vlad và Niki,37400000,23146534050,500,Other,2018
84,HUM TV,27500000,23130554223,102576,Entertainment,2011
85,CookieSwirlC,19800000,23113345239,3745,Entertainment,2013
86,The Weeknd,32400000,22939114947,140,Music,2011
87,J Balvin,34000000,22857170415,139,Music,2011
88,TheEllenShow,38200000,22720385239,15581,Entertainment,2006
89,etvteluguindia,19200000,22720237325,123985,Entertainment,2010
90,Peppa Pig - Official Channel,31000000,22602507654,3276,Film & Animation,2013
91,Daddy Yankee,37800000,22499211999,495,Music,2011
92,Little Angel: Nursery Rhymes & Kids Songs,30100000,22429011341,1308,Education,2015
93,A4,45600000,22375144945,763,Gaming,2014
94,Maroon 5,36600000,22369925694,171,Music,2006
95,Sesame Street,23300000,22324159345,3634,Entertainment,2006
96,Rihanna,41700000,22266450774,83,Entertainment,2005
97,Nick Jr.,27100000,22264196052,5368,Film & Animation,2012
98,Shemaroo,46800000,22227468126,11214,Entertainment,2007
99,Bollywood Classics,34700000,22080836493,1992,Music,2012
100,LUCCAS NETO - LUCCAS TOON,39200000,22079865161,2247,People & Blogs,2014
101,SMOL,20900000,21634338142,3483,People & Blogs,2021
102,Inside Edition,11900000,21506364856,30402,News & Politics,2012
103,shfa,38100000,21273306706,978,People & Blogs,2015
104,Spinnin' Records,30000000,21138873065,11377,Music,2007
105,T-Series Apna Punjab,34400000,21095779502,7594,Music,2011
106,Voot Kids,44900000,21081727093,4486,Entertainment,2016
107,Maluma,29200000,21056563459,27,Music,2018
108,Bounce Patrol - Kids Songs,27800000,20844198650,275,Music,2013
109,DONA 도나,31500000,20818241352,164,Entertainment,2018
110,jbalvinVEVO,13200000,20637371696,236,Music,2010
111,Disney Latinoamérica,21800000,20515125050,809,Entertainment,2007
112,BANGTANTV,75000000,20485354654,2217,Music,2012
113,EminemVEVO,24800000,20356279202,104,Music,2009
114,LEGO,16100000,20347026835,30651,Entertainment,2005
115,WORLDSTARHIPHOP,26400000,20260327304,6831,Music,2008
116,CVS 3D Rhymes & Kids Songs,33200000,20128407948,338,Education,2008
117,Markiplier,34900000,20103934661,5465,Gaming,2012
118,Sun TV,22100000,20023130779,56827,People & Blogs,2016
119,GRAMMY GOLD OFFICIAL,18500000,20009030522,6181,Music,2014
120,ArianaGrandeVevo,17700000,20004264579,178,Music,2010
121,Maroon5VEVO,14500000,19917347657,147,Music,2009
122,JYP Entertainment,27200000,19616677986,17,Music,2008
123,Like Nastya Show,42300000,19477379350,605,Entertainment,2017
124,dednahype,18600000,19362623845,1791,Comedy,2020
125,Badabun,46700000,19350951463,17851,Entertainment,2014
126,RihannaVEVO,25100000,19339696997,118,Music,2009
